Source,Sum_Sq,Percent_Variance
Scenario,124393.076504449,80.8956588786017
Algorithm,4396.0971693683,2.85888239927634
NFFT,879.15712054554,0.571735956074712
Components,159.491189690627,0.103720763549842
Scenario*Algorithm,8604.81069791899,5.59590493695124
Scenario*NFFT,3240.89685955725,2.10762925219635
Scenario*Components,441.824838971283,0.287328784381627
Algorithm*NFFT,4070.79328354605,2.64732985215031
Algorithm*Components,946.416540225502,0.615476292946341
NFFT*Components,273.283065907599,0.177722219742422
Scenario*Algorithm*NFFT,2078.2308008793,1.35152095810512
Scenario*Algorithm*Components,511.608379738755,0.332710614849214
Scenario*NFFT*Components,468.458363713144,0.304649173850211
Algorithm*NFFT*Components,497.817049149045,0.323741797562769
Scenario*Algorithm*NFFT*Components,494.629504789045,0.321668864659644
Error,2313.1884056683,1.50431925510089
Total,153769.779774119,
