Source,Sum_Sq,Percent_Variance
Scenario,111819.964849338,87.9909108456441
Algorithm,5018.68525675143,3.94919357723064
NFFT,97.8542747533938,0.0770013367227596
Components,30.930269579927,0.0243389684186186
Scenario*Algorithm,5841.33090650664,4.59653182423061
Scenario*NFFT,472.275665854933,0.371632794419131
Scenario*Components,301.087070494992,0.236924824760914
Algorithm*NFFT,397.274308081644,0.312614373209434
Algorithm*Components,29.7484779350489,0.0234090188930334
NFFT*Components,15.0235199334275,0.0118219783455583
Scenario*Algorithm*NFFT,1700.81243715996,1.33836596823246
Scenario*Algorithm*Components,75.6344104402087,0.0595165691106604
Scenario*NFFT*Components,69.2799889249582,0.054516287293568
Algorithm*NFFT*Components,28.2977233917627,0.0222674229906452
Scenario*Algorithm*NFFT*Components,128.93911400011,0.101461935708766
Error,1054.1292972002,0.829492274789182
Total,127081.267570347,
