Source,Sum_Sq,Percent_Variance
Scenario,581675.142039438,91.5735630776699
Algorithm,11452.0413061316,1.80290363318297
NFFT,4117.09530436702,0.648157466776652
Components,477.568284340203,0.0751839407415437
Scenario*Algorithm,18751.1033968017,2.95200056798458
Scenario*NFFT,2223.09155224275,0.349983005587909
Scenario*Components,152.495012468542,0.0240074065987356
Algorithm*NFFT,5761.62925314857,0.907057705772779
Algorithm*Components,1609.82454285468,0.253435910639429
NFFT*Components,334.105916747125,0.0525985503430558
Scenario*Algorithm*NFFT,3865.20774921821,0.608502616065608
Scenario*Algorithm*Components,760.10470831173,0.119663866343284
Scenario*NFFT*Components,492.945553344558,0.0776047959773295
Algorithm*NFFT*Components,422.402501197183,0.0664991492535246
Scenario*Algorithm*NFFT*Components,719.839615934994,0.113324902014051
Error,2385.26061319897,0.375513405048772
Total,635199.857349746,
