Source,SS,df,MS,F,P_value,Percent_Variance
Groups,11452.0413061316,2,5726.02065306581,10.9884901324296,1.86655035238295e-05,0.0180290363318297
Error,623747.816043615,1197,521.092578148384,,,0.98197096366817
Total,635199.857349747,1199,,,,
