Source,SS,df,MS,F,P_value,Percent_Variance
Groups,879.157120545734,3,293.052373515244,2.29242730941315,0.0764812872331964,0.00571735956074838
Error,152890.622653573,1196,127.834968773891,,,0.994282640439252
Total,153769.779774119,1199,,,,
