Source,SS,df,MS,F,P_value,Percent_Variance
Groups,4396.09716936845,2,2198.04858468422,17.6139739610553,2.8890347768926e-08,0.0285888239927645
Error,149373.682604751,1197,124.79004394716,,,0.971411176007236
Total,153769.779774119,1199,,,,
