Source,SS,df,MS,F,P_value,Percent_Variance
Groups,19316.9883853625,2,9658.49419268125,19.8820357484654,3.20378315661866e-09,0.0321517033146039
Error,581490.632795577,1197,485.790002335486,,,0.967848296685396
Total,600807.62118094,1199,,,,
