Source,SS,df,MS,F,P_value,Percent_Variance
Groups,4980.61808036563,3,1660.20602678854,3.33252168449293,0.0189077684434443,0.00828987167402403
Error,595827.003100574,1196,498.183112960346,,,0.991710128325976
Total,600807.62118094,1199,,,,
