Source,SS,df,MS,F,P_value,Percent_Variance
Groups,339053.739682595,2,169526.869841297,9.84623587858833,5.73624539693559e-05,0.0161852499413729
Error,20609262.8393467,1197,17217.4292726372,,,0.983814750058627
Total,20948316.5790293,1199,,,,
