Source,SS,df,MS,F,P_value,Percent_Variance
Groups,1490016.36249908,2,745008.181249538,50.9194620262256,5.97729678095472e-22,0.0784076625411779
Error,17513437.0527402,1197,14631.1086489058,,,0.921592337458822
Total,19003453.4152393,1199,,,,
