Source,SS,df,MS,F,P_value,Percent_Variance
Groups,97.8542747533331,3,32.6180915844444,0.307215222228943,0.820194054590848,0.000770013367227119
Error,126983.413295593,1196,106.173422487954,,,0.999229986632773
Total,127081.267570347,1199,,,,
