Source,SS,df,MS,F,P_value,Percent_Variance
Groups,5018.68525675166,2,2509.34262837583,24.6077304709891,3.36401367663235e-11,0.0394919357723083
Error,122062.582313595,1197,101.973752977105,,,0.960508064227692
Total,127081.267570347,1199,,,,
